,mc_iteration,no_observations,no_features,mean_score
0,1,10,5,0.1
0,1,10,60,0.2
0,1,10,115,0.4
0,1,10,170,0.6
0,1,20,5,0.55
0,1,20,60,0.3
0,1,20,115,0.35
0,1,20,170,0.4
0,1,30,5,0.6444444444444444
0,1,30,60,0.6222222222222221
0,1,30,115,0.5444444444444444
0,1,30,170,0.6
0,1,40,5,0.475
0,1,40,60,0.55
0,1,40,115,0.6166666666666666
0,1,40,170,0.5666666666666667
0,1,50,5,0.5666666666666667
0,1,50,60,0.5733333333333333
0,1,50,115,0.64
0,1,50,170,0.5933333333333333
0,2,10,5,0.8666666666666666
0,2,10,60,0.8666666666666666
0,2,10,115,0.8666666666666666
0,2,10,170,0.8666666666666666
0,2,20,5,0.8
0,2,20,60,0.8333333333333333
0,2,20,115,0.8333333333333333
0,2,20,170,0.8333333333333333
0,2,30,5,0.5666666666666667
0,2,30,60,0.5444444444444444
0,2,30,115,0.47777777777777775
0,2,30,170,0.5333333333333333
0,2,40,5,0.5833333333333333
0,2,40,60,0.4583333333333333
0,2,40,115,0.5333333333333333
0,2,40,170,0.5916666666666666
0,2,50,5,0.5
0,2,50,60,0.4666666666666666
0,2,50,115,0.44666666666666666
0,2,50,170,0.4733333333333333
0,3,10,5,0.5333333333333333
0,3,10,60,0.5333333333333333
0,3,10,115,0.6333333333333333
0,3,10,170,0.4333333333333333
0,3,20,5,0.6166666666666666
0,3,20,60,0.6833333333333333
0,3,20,115,0.5333333333333333
0,3,20,170,0.6666666666666666
0,3,30,5,0.6333333333333333
0,3,30,60,0.711111111111111
0,3,30,115,0.6666666666666666
0,3,30,170,0.5888888888888888
0,3,40,5,0.6083333333333333
0,3,40,60,0.5416666666666666
0,3,40,115,0.5583333333333333
0,3,40,170,0.5333333333333333
0,3,50,5,0.5
0,3,50,60,0.46
0,3,50,115,0.36
0,3,50,170,0.34
